ID,Title,Author,ISBN
openlib_1,Learning Python,Mark Lutz,
openlib_2,Python Cookbook,Alex Martelli,
openlib_3,Python,Mark Lutz,
openlib_4,Fluent Python,Luciano Ramalho,
openlib_5,Black Hat Python: Python Programming for Hackers and Pentesters,Justin Seitz,
openlib_6,Python For Data Analysis,Wes McKinney,
openlib_7,Think Python,Allen B. Downey,
openlib_8,Programming Python,Mark Lutz,
openlib_9,"Python Crash Course, 2nd Edition",Eric Matthes,
openlib_10,Automate the Boring Stuff with Python,Al Sweigart,
openlib_11,Python crash course,Eric Matthes,
openlib_12,Core Python programming,Wesley Chun,
openlib_13,Python,Joshua Welsh,
openlib_14,My Favorite Animal,Victoria Marcos,
openlib_15,Introduction to Machine Learning with Python,Andreas C. Mueller,
openlib_16,Python Data Science Handbook,Jake VanderPlas,
openlib_17,Beginning Python,James R. Payne,
openlib_18,Data science from scratch,Joel Grus,
openlib_19,Python! python!,Steve Chimombo,
openlib_20,Data Science,Tiffany-Anne Timbers,
openlib_21,Head First Python,Paul Barry,
openlib_22,Python,Martin C. Brown,
openlib_23,Python Distilled,David Beazley,
openlib_24,Python Playground,Mahesh Venkitachalam,
openlib_25,Python,Byron Francis,
openlib_26,"Python Crash Course, 3rd Edition",Eric Matthes,
openlib_27,Python for Everybody,Dr. Charles Russell Severance,
openlib_28,Python,Martin Evans,
openlib_29,Core Python Programming,R. Nageswara Rao,
openlib_30,Python for dummies,Stef Maruch,
openlib_31,Garden Planting Weekly,Yoshiko TOLBERT,
openlib_32,Python Basics,David Amos,
openlib_33,The Python Project,Victor Canning,
openlib_34,PYTHON Exercises,Ray Yao,
openlib_35,Python Basics,Unknown,
openlib_36,Python Programming Crash Course,Alex Jaxson,
openlib_37,Starting out with Python,Tony Gaddis,
openlib_38,Python for Geeks,Muhammad Asif,
openlib_39,Python,Andy Vickler,
openlib_40,Intro to Python,Programming For Scientists,
openlib_41,Effective Python,Brett Slatkin,
openlib_42,Python programming,John M. Zelle,
openlib_43,Python essential reference,David M. Beazley,
openlib_44,Monty Python & the Holy Grail,Monty Python,
openlib_45,Python for Beginners : 2 Books in 1,Programming Languages ACADEMY,
openlib_46,Python in a Nutshell,Alex Martelli,
openlib_47,Automate the Boring Stuff with Python,Albert Sweigart,
openlib_48,Python 201,Michael Driscoll,
openlib_49,Python Programming,Adam Stewart,
openlib_50,Data Structures and Algorithms in Python,Michael T. Goodrich,
openlib_51,Deep Learning with Python,Francois Chollet,
openlib_52,Django for Beginners,William S. Vincent,
openlib_53,Python Programming,Sarah Stewart,
openlib_54,Python Programming,Reema Thareja,
openlib_55,Programming for Beginners : This Book Includes,Matthew Python,
openlib_56,Python's Party,Brian Wildsmith,
openlib_57,Python,Jim Knowlton,
openlib_58,Python for Kids,Jason R. Briggs,
openlib_59,Python machine learning,Sebastian Raschka,
openlib_60,Python Algorithms,Magnus Lie Hetland,
openlib_61,Monty Python's the meaning of life,Monty Python,
openlib_62,Introduction To Computation And Programming Using Python,John Guttag,
openlib_63,"Bibliothèque romane de la Suisse; ou, Recueil de morceaux écrits en langue romane de la Suisse occidentale",Python,
openlib_64,Practical Statistics for Data Scientists: 50 Essential Concepts,Peter Bruce,
openlib_65,Verdi,Janell Cannon,
openlib_66,Starting Out with Python,Tony Gaddis,
openlib_67,Let Us Python,Yashavant Kanetkar,
openlib_68,Python,Andy Vickler,
openlib_69,Password Book,Batra BATRA RAJEEV,
openlib_70,Python Programming,"Naveen ,Kumar and Taneja Sheetal",
openlib_71,Python scripts for Abaqus,Gautam Puri,
openlib_72,Understanding coding with Python,Patricia Harris,
openlib_73,Python All-in-One For Dummies,John Shovic,
openlib_74,Python for bioinformatics,Sebastian Bassi,
openlib_75,Python,Bradley N. Miller,
openlib_76,Python Tricks: A Buffet of Awesome Python Features,Dan Bader,
openlib_77,Python programming in context,Bradley N. Miller,
openlib_78,Monty Python's Big Red Book,Monty Python,
openlib_79,Elements of programming interviews in Python,Adnan Aziz,
openlib_80,Python,Kevin Lyn,
openlib_81,The Pythons' Autobiography by the Pythons,Graham Chapman,
openlib_82,Fundamentals of Python Programming,Richard L. Halterman,
openlib_83,Python beyond Python,Paul N. Reinsch,
openlib_84,The Pythons,Graham Chapman,
openlib_85,Life of Brian,Monty Python,
openlib_86,Python,Christopher Cheng,
openlib_87,Concetti di informatica e fondamenti di Python,Unknown,
openlib_88,Python : Programming,iCode Academy,
openlib_89,Foundations of Python network programming,John Goerzen,
openlib_90,Introducing Python,Bill Lubanovic,
openlib_91,Python NSI,Daniel Perarnaud,
openlib_92,Python 3,Peter Wolfinger,
openlib_93,The Pythons,Graham Chapman,
openlib_94,Learn Python-3,Hasanraza ANSARI,
openlib_95,Debunking Seven Terrorism Myths Using Statistics,Andre Python,
openlib_96,Python,Devin Haines,
openlib_97,A Plague of Pythons,Frederik Pohl,
openlib_98,Python Programming,Vijaya Kumara Sarma,
openlib_99,Natural Language Processing With Python,Edward Loper,
openlib_100,Python! python!,Steve Bernard Miles Chimombo,
