ID,Title,Author,ISBN
openlib_1,Learning Python,Mark Lutz,N/A
openlib_2,Python Cookbook,Alex Martelli,N/A
openlib_3,Python,Mark Lutz,N/A
openlib_4,Fluent Python,Luciano Ramalho,N/A
openlib_5,Black Hat Python: Python Programming for Hackers and Pentesters,Justin Seitz,N/A
openlib_6,Python For Data Analysis,Wes McKinney,N/A
openlib_7,Think Python,Allen B. Downey,N/A
openlib_8,Programming Python,Mark Lutz,N/A
openlib_9,"Python Crash Course, 2nd Edition",Eric Matthes,N/A
openlib_10,Automate the Boring Stuff with Python,Al Sweigart,N/A
openlib_11,Python crash course,Eric Matthes,N/A
openlib_12,Core Python programming,Wesley Chun,N/A
openlib_13,Python,Joshua Welsh,N/A
openlib_14,My Favorite Animal,Victoria Marcos,N/A
openlib_15,Introduction to Machine Learning with Python,Andreas C. Mueller,N/A
openlib_16,Python Data Science Handbook,Jake VanderPlas,N/A
openlib_17,Beginning Python,James R. Payne,N/A
openlib_18,Data science from scratch,Joel Grus,N/A
openlib_19,Python! python!,Steve Chimombo,N/A
openlib_20,Data Science,Tiffany-Anne Timbers,N/A
openlib_21,Head First Python,Paul Barry,N/A
openlib_22,Python,Martin C. Brown,N/A
openlib_23,Python Distilled,David Beazley,N/A
openlib_24,Python Playground,Mahesh Venkitachalam,N/A
openlib_25,Python,Byron Francis,N/A
openlib_26,"Python Crash Course, 3rd Edition",Eric Matthes,N/A
openlib_27,Python for Everybody,Dr. Charles Russell Severance,N/A
openlib_28,Python,Martin Evans,N/A
openlib_29,Core Python Programming,R. Nageswara Rao,N/A
openlib_30,Python for dummies,Stef Maruch,N/A
openlib_31,Garden Planting Weekly,Yoshiko TOLBERT,N/A
openlib_32,Python Basics,David Amos,N/A
openlib_33,The Python Project,Victor Canning,N/A
openlib_34,PYTHON Exercises,Ray Yao,N/A
openlib_35,Python Basics,Unknown,N/A
openlib_36,Python Programming Crash Course,Alex Jaxson,N/A
openlib_37,Starting out with Python,Tony Gaddis,N/A
openlib_38,Python for Geeks,Muhammad Asif,N/A
openlib_39,Python,Andy Vickler,N/A
openlib_40,Intro to Python,Programming For Scientists,N/A
openlib_41,Effective Python,Brett Slatkin,N/A
openlib_42,Python programming,John M. Zelle,N/A
openlib_43,Python essential reference,David M. Beazley,N/A
openlib_44,Monty Python & the Holy Grail,Monty Python,N/A
openlib_45,Python for Beginners : 2 Books in 1,Programming Languages ACADEMY,N/A
openlib_46,Python in a Nutshell,Alex Martelli,N/A
openlib_47,Automate the Boring Stuff with Python,Albert Sweigart,N/A
openlib_48,Python 201,Michael Driscoll,N/A
openlib_49,Python Programming,Adam Stewart,N/A
openlib_50,Data Structures and Algorithms in Python,Michael T. Goodrich,N/A
openlib_51,Deep Learning with Python,Francois Chollet,N/A
openlib_52,Django for Beginners,William S. Vincent,N/A
openlib_53,Python Programming,Sarah Stewart,N/A
openlib_54,Python Programming,Reema Thareja,N/A
openlib_55,Programming for Beginners : This Book Includes,Matthew Python,N/A
openlib_56,Python's Party,Brian Wildsmith,N/A
openlib_57,Python,Jim Knowlton,N/A
openlib_58,Python for Kids,Jason R. Briggs,N/A
openlib_59,Python machine learning,Sebastian Raschka,N/A
openlib_60,Python Algorithms,Magnus Lie Hetland,N/A
openlib_61,Monty Python's the meaning of life,Monty Python,N/A
openlib_62,Introduction To Computation And Programming Using Python,John Guttag,N/A
openlib_63,"Bibliothèque romane de la Suisse; ou, Recueil de morceaux écrits en langue romane de la Suisse occidentale",Python,N/A
openlib_64,Practical Statistics for Data Scientists: 50 Essential Concepts,Peter Bruce,N/A
openlib_65,Verdi,Janell Cannon,N/A
openlib_66,Starting Out with Python,Tony Gaddis,N/A
openlib_67,Let Us Python,Yashavant Kanetkar,N/A
openlib_68,Python,Andy Vickler,N/A
openlib_69,Password Book,Batra BATRA RAJEEV,N/A
openlib_70,Python Programming,"Naveen ,Kumar and Taneja Sheetal",N/A
openlib_71,Python scripts for Abaqus,Gautam Puri,N/A
openlib_72,Understanding coding with Python,Patricia Harris,N/A
openlib_73,Python All-in-One For Dummies,John Shovic,N/A
openlib_74,Python for bioinformatics,Sebastian Bassi,N/A
openlib_75,Python,Bradley N. Miller,N/A
openlib_76,Python Tricks: A Buffet of Awesome Python Features,Dan Bader,N/A
openlib_77,Python programming in context,Bradley N. Miller,N/A
openlib_78,Monty Python's Big Red Book,Monty Python,N/A
openlib_79,Elements of programming interviews in Python,Adnan Aziz,N/A
openlib_80,Python,Kevin Lyn,N/A
openlib_81,The Pythons' Autobiography by the Pythons,Graham Chapman,N/A
openlib_82,Fundamentals of Python Programming,Richard L. Halterman,N/A
openlib_83,Python beyond Python,Paul N. Reinsch,N/A
openlib_84,The Pythons,Graham Chapman,N/A
openlib_85,Life of Brian,Monty Python,N/A
openlib_86,Python,Christopher Cheng,N/A
openlib_87,Concetti di informatica e fondamenti di Python,Unknown,N/A
openlib_88,Python : Programming,iCode Academy,N/A
openlib_89,Foundations of Python network programming,John Goerzen,N/A
openlib_90,Introducing Python,Bill Lubanovic,N/A
openlib_91,Python NSI,Daniel Perarnaud,N/A
openlib_92,Python 3,Peter Wolfinger,N/A
openlib_93,The Pythons,Graham Chapman,N/A
openlib_94,Learn Python-3,Hasanraza ANSARI,N/A
openlib_95,Debunking Seven Terrorism Myths Using Statistics,Andre Python,N/A
openlib_96,Python,Devin Haines,N/A
openlib_97,A Plague of Pythons,Frederik Pohl,N/A
openlib_98,Python Programming,Vijaya Kumara Sarma,N/A
openlib_99,Natural Language Processing With Python,Edward Loper,N/A
openlib_100,Python! python!,Steve Bernard Miles Chimombo,N/A
openlib_101,Python,Cooper Webb,N/A
openlib_102,Dive into Python,Mark Pilgrim,N/A
openlib_103,Learn Python,Srinivas Muralidharan,N/A
openlib_104,Clean Python,Sunil Kapil,N/A
openlib_105,Python for Finance: Analyze Big Financial Data,Yves Hilpisch,N/A
openlib_106,Contractual obligation,Monty Python,N/A
openlib_107,DevOps in Python,Moshe Zadka,N/A
openlib_108,NSI Python,daniel Pérarnaud,N/A
openlib_109,Python,Toby Donaldson,N/A
openlib_110,Python,Kilber Stewart,N/A
openlib_111,Python 3,James R. Parker,N/A
openlib_112,Python,Century writer,N/A
openlib_113,Learn Python,Xploit Hacker,N/A
openlib_114,Pythons,Don Patton,N/A
openlib_115,Python,Oswald Campesato,N/A
openlib_116,Programmation Python,Tarek Ziadé,N/A
openlib_117,Learning Scientific Programming with Python,Christian Hill,N/A
openlib_118,Monty Python's Second Film,Monty Python,N/A
openlib_119,Python Programming : Advanced Python Applications and Features,Coding ACADEMY,N/A
openlib_120,Python Language,Albert Robin,N/A
openlib_121,Python,Josh Thompsons,N/A
openlib_122,Python,Computer Programming Academy,N/A
openlib_123,Python,Del Schenewerk,N/A
openlib_124,Python,Joseph Eddy Fontenrose,N/A
openlib_125,Curso Intensivo de Python,Eric Matthes,N/A
openlib_126,Pro Python,Marty Alchin,N/A
openlib_127,Die Riesenschlange Sansibar,Eric Carle,N/A
openlib_128,Programming in Python 3,Mark Summerfield,N/A
openlib_129,Python Programming,Infinity Solutions,N/A
openlib_130,Monty Python and The Holy Grail (Book),Monty Python,N/A
openlib_131,Just the Words,Monty Python,N/A
openlib_132,Monty Python and the Holy Grail,Monty Python,N/A
openlib_133,Python,Jeff Simon,N/A
openlib_134,Python,Richard Dorsey,N/A
openlib_135,Basics of Python,Yogesh Jadhav,N/A
openlib_136,A Python Book,Dave Kuhlman,N/A
openlib_137,Learn More Python 3 the Hard Way: The Next Step for New Python Programmers (Zed Shaw's Hard Way Series),Zed A. Shaw,N/A
openlib_138,Python,eProgramming,N/A
openlib_139,Programming with Python,Tim Altom,N/A
openlib_140,PYTHON for Beginners,"Pandey, Prof. Asheesh, 1st",N/A
openlib_141,A pocketful of Python,Terry Jones,N/A
openlib_142,Python,Martin McKinsey,N/A
openlib_143,Python Advanced,Gary Gold,N/A
openlib_144,Python,Timo Brumm,N/A
openlib_145,"The ""Pythons"" Autobiography by the ""Pythons"" (Monty Python)",Graham Chapman,N/A
openlib_146,Python Data Science,Programming Languages Programming Languages Project,N/A
openlib_147,Python Basics,H. Bhasin,N/A
openlib_148,Gray hat Python,Justin Seitz,N/A
openlib_149,Python for kids for dummies,Brendan Scott,N/A
openlib_150,Matching tie and handkerchief,Monty Python,N/A
openlib_151,Monty Python's Flying Circus,Monty Python,N/A
openlib_152,Coding for Kids SCRATCH,Joseph Python,N/A
openlib_153,Monty Python's Flying Circus,Monty Python,N/A
openlib_154,Python Programming for Beginners,Matthew Python,N/A
openlib_155,Python Professional Programming : Development Level Python,Peter Klammer,N/A
openlib_156,Python and XML,"Jones, Christopher A.",N/A
